# AFGL atmospheric constituent profile. U.S. standard atmosphere 1976. ( AFGL-TR-86-0110)       
#     z(km)      p(mb)        T(K)    air(cm-3)    o3(cm-3)     o2(cm-3)    h2o(cm-3)    co2(cm-3)     no2(cm-3)
   2.500 7.481000e+02 2.719500e+02 1.991218e+19 6.526308e+11 4.164325e+18 7.857238e+16 6.575250e+15 4.582750e+08
   2.400 7.574800e+02 2.726000e+02 2.011441e+19 6.576702e+11 4.206752e+18 8.225254e+16 6.642240e+15 4.629441e+08
   2.300 7.668600e+02 2.732500e+02 2.031663e+19 6.627096e+11 4.249179e+18 8.593269e+16 6.709230e+15 4.676131e+08
   2.200 7.762400e+02 2.739000e+02 2.051886e+19 6.677491e+11 4.291606e+18 8.961284e+16 6.776220e+15 4.722821e+08
   2.100 7.856200e+02 2.745500e+02 2.072108e+19 6.727885e+11 4.334033e+18 9.329300e+16 6.843210e+15 4.769511e+08
   2.000 7.950000e+02 2.752000e+02 2.092331e+19 6.778279e+11 4.376460e+18 9.697315e+16 6.910200e+15 4.816201e+08
   1.900 8.053800e+02 2.758500e+02 2.114192e+19 6.778391e+11 4.422231e+18 1.013181e+17 6.982470e+15 4.866571e+08
   1.800 8.157600e+02 2.765000e+02 2.136052e+19 6.778504e+11 4.468002e+18 1.056630e+17 7.054740e+15 4.916941e+08
   1.700 8.261400e+02 2.771500e+02 2.157912e+19 6.778616e+11 4.513773e+18 1.100079e+17 7.127010e+15 4.967311e+08
   1.600 8.365200e+02 2.778000e+02 2.179773e+19 6.778728e+11 4.559544e+18 1.143528e+17 7.199280e+15 5.017681e+08
   1.500 8.469000e+02 2.784500e+02 2.201634e+19 6.778840e+11 4.605315e+18 1.186977e+17 7.271550e+15 5.068050e+08
   1.400 8.572800e+02 2.791000e+02 2.223494e+19 6.778953e+11 4.651086e+18 1.230426e+17 7.343820e+15 5.118420e+08
   1.300 8.676600e+02 2.797500e+02 2.245354e+19 6.779065e+11 4.696857e+18 1.273875e+17 7.416090e+15 5.168790e+08
   1.200 8.780400e+02 2.804000e+02 2.267215e+19 6.779177e+11 4.742628e+18 1.317324e+17 7.488360e+15 5.219160e+08
   1.100 8.884200e+02 2.810500e+02 2.289076e+19 6.779290e+11 4.788399e+18 1.360773e+17 7.560630e+15 5.269530e+08
   1.000 8.988000e+02 2.817000e+02 2.310936e+19 6.779402e+11 4.834170e+18 1.404222e+17 7.632900e+15 5.319900e+08
   0.900 9.102200e+02 2.823500e+02 2.334424e+19 6.779230e+11 4.883285e+18 1.461142e+17 7.710450e+15 5.373950e+08
   0.800 9.216400e+02 2.830000e+02 2.357912e+19 6.779058e+11 4.932400e+18 1.518063e+17 7.788000e+15 5.428000e+08
   0.700 9.330600e+02 2.836500e+02 2.381401e+19 6.778885e+11 4.981515e+18 1.574983e+17 7.865550e+15 5.482050e+08
   0.600 9.444800e+02 2.843000e+02 2.404889e+19 6.778713e+11 5.030630e+18 1.631904e+17 7.943100e+15 5.536100e+08
   0.500 9.559000e+02 2.849500e+02 2.428377e+19 6.778541e+11 5.079745e+18 1.688824e+17 8.020650e+15 5.590150e+08
   0.400 9.673200e+02 2.856000e+02 2.451865e+19 6.778369e+11 5.128860e+18 1.745744e+17 8.098200e+15 5.644200e+08
   0.300 9.787400e+02 2.862500e+02 2.475353e+19 6.778197e+11 5.177975e+18 1.802665e+17 8.175750e+15 5.698250e+08
   0.200 9.901600e+02 2.869000e+02 2.498842e+19 6.778024e+11 5.227090e+18 1.859585e+17 8.253300e+15 5.752300e+08
   0.100 1.001580e+03 2.875500e+02 2.522330e+19 6.777852e+11 5.276205e+18 1.916506e+17 8.330850e+15 5.806350e+08
   0.000 1.013000e+03 2.882000e+02 2.545818e+19 6.777680e+11 5.325320e+18 1.973426e+17 8.408400e+15 5.860400e+08
